"page"	"term"	"title"	"authors"	"year"	"n_citations"	"abstract"
1	"intext:\"Byttnerioideae\" AND \"morphology\""	"Phylogenetic relationships and floral evolution of the Byttnerioideae (“Sterculiaceae” or Malvaceae sl) based on sequences of the chloroplast gene, ndhF"	"BA Whitlock, C Bayer, DA Baum"	"2001"	143	"… While never proposed prior to the molecular work, the monophyly of Byttnerioideae is 
consistent with floral morphology. The majority of these plants share a basic floral plan of perfect, …"
1	"intext:\"Byttnerioideae\" AND \"morphology\""	"Pollen morphology and exine ultrastructure of selected species of Waltheria L.(Byttnerioideae-Malvaceae)"	"MD Saba, FAR dos Santos"	"2015"	18	"… In the present study, the pollen morphology of five species of Waltheria (Waltheria albicans 
… (TEM), with emphasis on the differences in pollen morphology from heterostyled morphs. …"
1	"intext:\"Byttnerioideae\" AND \"morphology\""	"[HTML][HTML] A synopsis of Byttnerieae (Malvaceae, Byttnerioideae) from the Atlantic Forest, with notes on geographical distribution, nomenclature, and conservation"	"M Colli-Silva, JR Pirani"	"2021"	NA	"… In this work, we provide novel contributions for one of the nine subfamilies of Malvaceae - Byttnerioideae -, by presenting a synoptic taxonomical treatment with comments on the …"
1	"intext:\"Byttnerioideae\" AND \"morphology\""	"Waltheria marielleae (Byttnerioideae, Malvaceae), a new species from north-eastern Brazil supported by morphological and phylogenetic evidence"	"TS Coutinho, MA Sader, A Pedrosa-Harand"	"2022"	1	"Background – Waltheria marielleae is a new species of Malvaceae endemic to north-eastern 
Brazil that occurs only in the states of Pernambuco and Alagoas, in areas of Atlantic Forest …"
1	"intext:\"Byttnerioideae\" AND \"morphology\""	"[HTML][HTML] Pollen morphology of Waltheria L. (Malvaceae-Byttnerioideae) from Bahia, Brazil"	"CEA Silveira, LCL Lima, MD Saba"	"2017"	15	"Waltheria encompasses about 60 species distributed in Brazil and Mexico. To improve the 
palynology of the genus, we analyzed 14 species occurring in the Brazilian State of Bahia. …"
1	"intext:\"Byttnerioideae\" AND \"morphology\""	"[PDF][PDF] Seed morphology and its taxonomic significance in the family Malvaceae"	"R Abid, A Ather, M Qaiser"	"2016"	12	"The seed morphological studies of 75 taxa belonging to 6 sub-families of the family Malvaceae 
were carried out from Pakistan. In Pakistan the family Malvaceae is represented by 6 sub-…"
1	"intext:\"Byttnerioideae\" AND \"morphology\""	"POLLEN MORPHOLOGY AND HARMOMEGATHIC CHARACTERS OF Byttneria LÖFL. SPECIES (STERCULIACEAE S. S: SUBFAM. BYTTNERIOIDEAE)"	"AJ Amirul-Aiman, T Noraini"	"2019"	5	"A palynological study was conducted on seven species of Byttneria Löfl. The objectives of 
this study was to understand the variation in micromorphological and harmomegarthic …"
1	"intext:\"Byttnerioideae\" AND \"morphology\""	"[PDF][PDF] Foliage and seeds of malvalean plants from the Eocene of Europe"	"Z Kvacek, V Wilde"	"2010"	18	"… in gross morphology and … morphology has been found in the population from Kučlín, 
from which evidence of epidermal anatomy is not available. In addition to gross morphology…"
1	"intext:\"Byttnerioideae\" AND \"morphology\""	"[PDF][PDF] Exploring Phylogenetic Relationships in Malvaceae Using Sequence Data of Matk Gene"	"I Jamil, R Abid, S Kousar"	"I Jamil, R Abid, S Kousar - juw.edu.pk"	NA	"… Byttneriina clade comprising the subfamilies, Grewioideae and Byttnerioideae and placed 
at the base of Malvadendrina clade that comprising all remaining subfamilies of extended …"
1	"intext:\"Byttnerioideae\" AND \"morphology\""	"Systematics, Evolution, and Biogeography of Ayenia  (Malvaceae Subfamily Byttnerioideae)"	"WV Sharber"	"2018"	2	"… Ayenia is one of two genera in the Byttnerioideae with an androgynophore, although there 
is substantial variation in androecium morphology, including the length of the staminal column…"
2	"intext:\"Byttnerioideae\" AND \"morphology\""	"The phylogeny of Ayenia, Byttneria, and Rayleya (Malvaceae sl) and its implications for the evolution of growth forms"	"BA Whitlock, AM Hale"	"2011"	19	"… Androecium and petal morphology separate the approximately 135 species of Byttneria … 
In addition, we used sequences from five other Byttnerioideae as outgroups (Appendix 1), …"
2	"intext:\"Byttnerioideae\" AND \"morphology\""	"Male and female booths with separate entrances in the tiny flowers of Guazuma ulmifolia (Malvaceae–Byttnerioideae). I. Structural integration"	"C Westerkamp, AA Soares"	"2006"	12	"In spite of their tiny dimensions (3×5mm 2 ), the strongly honey-scented flowers of Guazuma 
ulmifolia (Malvaceae–Byttnerioideae) provide six sexual chambers. A central female unit is …"
2	"intext:\"Byttnerioideae\" AND \"morphology\""	"[HTML][HTML] New species of Waltheria (Hermannieae, Byttnerioideae, Malvaceae) from Paraguay, Argentina, and Venezuela, and two new records for Paraguay"	"JG Saunders"	"2005"	5	"… Pollen morphology is first described for. carmensarae and Kohler’s description for W. … the Byttnerioideae basal to the Grewioideae in an expanded Malvaceae (Bayer & Kubitzki, 2003). …"
2	"intext:\"Byttnerioideae\" AND \"morphology\""	"[HTML][HTML] Especies nuevas de Waltheria (Hermannieae, Byttnerioideae, Malvaceae) de Paraguay, Argentina y Venezuela, y dos nuevas citas para Paraguay"	"JG Saunders"	"2005"	1	"… New species of Waltheria (Hermannieae, Byttnerioideae, Malvaceae) from Paraguay, 
Argentina, … Pollen morphology is first described for. carmensarae and Kohler s description for W. …"
2	"intext:\"Byttnerioideae\" AND \"morphology\""	"[HTML][HTML] Bombacoideae, Byttnerioideae, Grewioideae and Helicterioideae (Malvaceae sl) in the Raso da Catarina Ecoregion, Bahia, Brazil"	"JB Lima, MG Bovini, AS Conceição"	"2019"	8	"This work presents a floristic survey of the subfamilies Bombacoideae, Byttnerioideae, 
Grewioideae and Helicterioideae (Malvaceae sl) in the Raso da Catarina Ecoregion (RCE), Bahia…"
2	"intext:\"Byttnerioideae\" AND \"morphology\""	"Synopsis of Melochia L. (Byttnerioideae, Malvaceae) in southeastern Brazil"	"VM Goncalez, GL Esteves"	"2015"	4	"… This study provides a taxonomic treatment including an identification key, illustrations, 
comments on morphology, habitat, geographical data and conservation status. Some species …"
2	"intext:\"Byttnerioideae\" AND \"morphology\""	"Estimating bioregions and undercollected areas in South America by revisiting Byttnerioideae, Helicteroideae and Sterculioideae (Malvaceae) occurrence data"	"M Colli-Silva, JR Pirani"	"2020"	11	"… , its genera were rearranged into three distinct subfamilies: Byttnerioideae (the cacao group), 
… distributional information of species of Byttnerioideae, Helicteroideae and Sterculioideae in …"
2	"intext:\"Byttnerioideae\" AND \"morphology\""	"[HTML][HTML] Novelties in Brazilian Waltheria L. (Byttnerioideae, Malvaceae): two new species and one re-establishment"	"TS Coutinho, M Colli-Silva, M Alves"	"2020"	3	"… Byttnerioideae is characterized by having clawed and often caducous petals, small 
flowers, shorter than 2-3 cm in length, without epicalyx and usually with a reduced or absent …"
2	"intext:\"Byttnerioideae\" AND \"morphology\""	"Theobroma flaviflorum (Malvaceae: Byttnerioideae), a New Species from the Osa Peninsula, Costa Rica"	"D Santamaría-Aguilar, RA Fernández"	"2023"	NA	"… However, the easily recognizable morphology and restricted distribution was identifiable 
in images provided by Leonardo Álvarez Alcázar (some of these available at Plant …"
2	"intext:\"Byttnerioideae\" AND \"morphology\""	"A new distylous Waltheria L.(Byttnerioideae, Malvaceae) from the state of Bahia, Brazil"	"TS Coutinho, M Alves"	"2019"	4	"A new distylous Waltheria species from Bahia, Brazil, is described and illustrated. Waltheria 
saundersiae is endemic to the campos rupestres from Bahia and is a shrub with erect to …"
3	"intext:\"Byttnerioideae\" AND \"morphology\""	"[PDF][PDF] A taxonomic dataset of preserved specimen occurrences of Theobroma and Herrania (Malvaceae, Byttnerioideae) stored in 2020"	"M Colli-Silva, J Richardson, J Pirani"	"2023"	1	"Species from the \"cacao group\" are traditionally allocated into two genera, Theobroma and 
Herrania (Malvaceae, Byttnerioideae), both groups of Neotropical species economically …"
3	"intext:\"Byttnerioideae\" AND \"morphology\""	"Ayenia albiflora, (Malvaceae, Byttnerioideae) a new species from the Cerrado of Goiás, Central‐West Brazil"	"M Colli‐Silva, IL de Morais"	"2022"	1	"In this work, we describe a new species of Ayenia (Malvaceae, Byttnerioideae). Ayenia albiflora 
sp. nov. is known from the Cerrado areas of southern Goiás, Central‐West Brazil. It can …"
3	"intext:\"Byttnerioideae\" AND \"morphology\""	"[HTML][HTML] Genome size, cytogenetic data and transferability of EST-SSRs markers in wild and cultivated species of the genus Theobroma L. (Byttnerioideae, Malvaceae …"	"RA da Silva, G Souza, LSL Lemos, UV Lopes"	"2017"	16	"… grandiflorum, with most chromosome pairs similar in morphology and size, corroborating 
with our findings [45]. Plant species native from tropical forests tend to have a reduced genome …"
3	"intext:\"Byttnerioideae\" AND \"morphology\""	"[PDF][PDF] Pollen morphology of Sterculiaceae (s. str.) in Egypt and its taxonomic significance"	"R Hamdy, E Shamso"	"2010"	16	"… the other two subfamilies Byttnerioideae and Sterculioideae; both have medium to small, 
reticulate pollen grains with trizonobrevicolpate or 3 to 4–5 zonocolporate. Byttnerioideae is an …"
3	"intext:\"Byttnerioideae\" AND \"morphology\""	"A new tribal classification of Grewioideae (Malvaceae) based on morphological and molecular phylogenetic evidence"	"U Brunken, AN Muellner"	"2012"	46	"… In contrast to Byttnerioideae, staminodes occur exclusively in the periphery of an otherwise 
… (1926) based on resemblance in flower and fruit morphology, and this relationship, has been …"
3	"intext:\"Byttnerioideae\" AND \"morphology\""	"[PDF][PDF] A revision of Lasiopetalum (Malvaceae: Byttnerioideae) from the northern sandplains of Western Australia, including two new species"	"KA Shepherd, CF Wilkins"	"2021"	1	"… to the south or the Avon Wheatbelt and Yalgoo boundaries to the east, have been included 
with allied species in previous treatments along that focused on shared morphology, such as …"
